NM_LIVRO,NM_GENERO,NM_AUTOR,NM_EDITORA,NR_VALOR_VENDA,NM_LIVRARIA,NR_UNIDADES_VENDIDAS
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Gustavo Ribeiro,Editora Globo,14.7,Livraria Cultura,70
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Lucas Lima,Editora Globo,51.73,Livraria Martins Fontes,0
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Beatriz Nunes,Editora Planeta,30.95,Livraria Fnac,0
Aventuras Mágicas: A Fada e o Dragão,Infantil,Gustavo Ribeiro,Editora Record,31.16,Livraria Cultura,29
Além do Infinito,Ficção,Juliana Rocha,Editora Sextante,14.75,Livraria Saraiva,0
O Feitiço da Lua,Fantasia,Thiago Fernandes,Editora Rocco,73.8,Livraria Saraiva,83
Futuro Agora: Conectando o Mundo,Tecnologia,Carla Dias,Companhia das Letras,42.35,Livraria Fnac,2
O Mistério de Paris,Suspense,Fernanda Costa,Editora Record,61.79,Livraria da Travessa,38
Vida Incrível: Passos para a Eternidade,Biografia,Thiago Fernandes,Editora Sextante,37.38,Livraria Cultura,3
Vida Incrível: O Legado de uma Lenda,Biografia,Carlos Souza,Editora Sextante,30.53,Livraria da Travessa,2
A Casa das Sombras,Terror,João Silva,Editora Record,45.33,Livraria Cultura,43
Desperte Seu Poder: Vença o Medo,Autoajuda,Juliana Rocha,Editora Globo,25.17,Livraria Saraiva,162
A Casa das Sombras,Terror,Pedro Martins,Editora Record,26.2,Livraria da Travessa,323
Os Guerreiros do Passado,História,Juliana Rocha,Intrínseca,52.9,Livraria Cultura,95
O Feitiço da Montanha,Fantasia,Sofia Almeida,Editora Sextante,56.99,Livraria Fnac,175
Futuro Agora: Conectando o Mundo,Tecnologia,Carla Dias,Editora Globo,84.76,Livraria da Travessa,557
Vida Incrível: Histórias de Superação,Biografia,Ana Pereira,Companhia das Letras,22.11,Livraria Martins Fontes,23
A Casa das Sombras,Terror,Ana Pereira,Editora Planeta,11.04,Livraria Fnac,76
O Mistério de Moscou,Suspense,Thiago Fernandes,Editora Record,92.93,Livraria Saraiva,50
Futuro Agora: Conectando o Mundo,Tecnologia,Maria Oliveira,Editora Record,49.71,Livraria Martins Fontes,1
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Carla Dias,Editora Globo,46.26,Livraria Cultura,3
O Mistério de Moscou,Suspense,Lucas Lima,Editora Rocco,10.21,Livraria Lecos,0
Revolução Científica: O Enigma da Matéria,Ciência,Carlos Souza,Editora Globo,36.19,Livraria Saraiva,9
O Mistério de Paris,Suspense,Juliana Rocha,Editora Sextante,10.27,Livraria Cultura,11
O Feitiço da Sombra,Fantasia,Carlos Souza,Editora Record,28.49,Livraria Cultura,93
Aventura Radical: Os Mistérios do Deserto,Aventura,João Silva,Editora Sextante,6.56,Livraria Fnac,37
A Última Fronteira,Ficção,Juliana Rocha,Editora Sextante,11.89,Livraria Cultura,141
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Rafael Gomes,Editora Record,20.26,Livraria Fnac,0
Revolução Científica: Explorando o Infinito,Ciência,Fernanda Costa,Intrínseca,18.62,Livraria Lecos,262
A Última Batalha,História,Juliana Rocha,Editora Sextante,26.57,Livraria Saraiva,17
Revolução Científica: Explorando o Infinito,Ciência,Gustavo Ribeiro,Editora Planeta,24.26,Livraria Cultura,0
O Mistério de Nova York,Suspense,Gustavo Ribeiro,Intrínseca,20.9,Livraria Lecos,937
Amor Eterno: Corações em Chamas,Romance,Maria Oliveira,Editora Globo,52.85,Livraria Lecos,0
Desperte Seu Poder: Superando Limites,Autoajuda,Maria Oliveira,Editora Globo,109.16,Livraria Fnac,523
Aventura Radical: Os Mistérios do Deserto,Aventura,Lucas Lima,Companhia das Letras,44.02,Livraria da Travessa,0
Aventura Radical: Os Mistérios do Deserto,Aventura,Sofia Almeida,Editora Globo,55.46,Livraria Cultura,23
O Mistério de Nova York,Suspense,Juliana Rocha,Editora Planeta,53.0,Livraria Cultura,0
Vida Incrível: Passos para a Eternidade,Biografia,Juliana Rocha,Editora Record,107.09,Livraria Cultura,165
A Última Fronteira,Ficção,Carlos Souza,Editora Globo,9.95,Livraria da Travessa,21
Vida Incrível: Histórias de Superação,Biografia,Ana Pereira,Editora Globo,140.81,Livraria Fnac,283
O Mistério de Moscou,Suspense,Sofia Almeida,Editora Globo,37.16,Livraria Fnac,68
O Feitiço da Estrela,Fantasia,Juliana Rocha,Editora Record,56.05,Livraria Cultura,22
O Horizonte Proibido,Ficção,Beatriz Nunes,Editora Globo,48.5,Livraria Lecos,23
Aventuras Mágicas: A Fada e o Dragão,Infantil,Juliana Rocha,Editora Sextante,29.23,Livraria Lecos,25
O Feitiço da Montanha,Fantasia,Carlos Souza,Editora Globo,18.14,Livraria Martins Fontes,20
Amor Eterno: O Último Beijo,Romance,Fernanda Costa,Editora Sextante,8.09,Livraria Martins Fontes,7
Nos Bastidores da História,História,Sofia Almeida,Editora Rocco,23.7,Livraria Martins Fontes,127
Desperte Seu Poder: Vença o Medo,Autoajuda,Lucas Lima,Intrínseca,11.31,Livraria Fnac,27
Futuro Agora: Revolução Digital,Tecnologia,Lucas Lima,Editora Globo,26.46,Livraria Martins Fontes,0
Revolução Científica: Mistérios do Universo,Ciência,Fernanda Costa,Companhia das Letras,73.41,Livraria Martins Fontes,57
Amor Eterno: O Último Beijo,Romance,João Silva,Editora Planeta,109.55,Livraria Cultura,0
Amor Eterno: A Noite das Estrelas,Romance,Sofia Almeida,Companhia das Letras,21.36,Livraria Martins Fontes,5
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Thiago Fernandes,Companhia das Letras,15.52,Livraria Cultura,26
Vida Incrível: Histórias de Superação,Biografia,Pedro Martins,Editora Globo,15.28,Livraria Martins Fontes,24
Aventuras Mágicas: A Fada e o Dragão,Infantil,Thiago Fernandes,Intrínseca,8.44,Livraria Lecos,0
Futuro Agora: Inteligência Artificial,Tecnologia,João Silva,Editora Rocco,70.36,Livraria Lecos,9
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Sofia Almeida,Editora Record,58.23,Livraria da Travessa,0
Os Guerreiros do Passado,História,Gustavo Ribeiro,Intrínseca,28.66,Livraria Martins Fontes,196
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Fernanda Costa,Intrínseca,27.72,Livraria Cultura,0
Revolução Científica: O Enigma da Matéria,Ciência,Lucas Lima,Editora Globo,37.03,Livraria Fnac,4
Vida Incrível: Histórias de Superação,Biografia,Lucas Lima,Editora Globo,64.53,Livraria Lecos,381
Futuro Agora: Revolução Digital,Tecnologia,Ana Pereira,Editora Globo,11.37,Livraria Cultura,81
O Horizonte Proibido,Ficção,Lucas Lima,Editora Globo,51.0,Livraria Saraiva,76
Futuro Agora: Revolução Digital,Tecnologia,Thiago Fernandes,Editora Globo,83.73,Livraria Martins Fontes,15
Amor Eterno: Corações em Chamas,Romance,Fernanda Costa,Editora Sextante,54.93,Livraria Saraiva,313
Amor Eterno: Corações em Chamas,Romance,Juliana Rocha,Editora Sextante,18.7,Livraria Saraiva,29
Aventura Radical: Viagem ao Centro da Terra,Aventura,Pedro Martins,Editora Planeta,43.85,Livraria Lecos,0
O Mistério de Moscou,Suspense,Carla Dias,Editora Record,41.93,Livraria Cultura,0
O Mistério de Londres,Suspense,Lucas Lima,Editora Rocco,78.89,Livraria Saraiva,139
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Thiago Fernandes,Intrínseca,24.62,Livraria Cultura,0
Amor Eterno: Entre Nós,Romance,Fernanda Costa,Intrínseca,25.31,Livraria Fnac,123
O Feitiço da Chama,Fantasia,Fernanda Costa,Intrínseca,24.53,Livraria Saraiva,228
Futuro Agora: Inteligência Artificial,Tecnologia,Carlos Souza,Editora Planeta,13.66,Livraria Fnac,65
Revolução Científica: O Enigma da Matéria,Ciência,Thiago Fernandes,Intrínseca,27.29,Livraria Cultura,59
Aventuras Mágicas: A Fada e o Dragão,Infantil,Sofia Almeida,Editora Sextante,24.88,Livraria Martins Fontes,33
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Carla Dias,Editora Rocco,29.01,Livraria Martins Fontes,26
Aventura Radical: Viagem ao Centro da Terra,Aventura,Ana Pereira,Intrínseca,60.85,Livraria Fnac,1045
Além do Infinito,Ficção,Gustavo Ribeiro,Editora Sextante,25.6,Livraria Lecos,101
Os Guerreiros do Passado,História,João Silva,Editora Planeta,7.15,Livraria da Travessa,2
Desperte Seu Poder: Vença o Medo,Autoajuda,Beatriz Nunes,Editora Globo,22.85,Livraria Martins Fontes,0
Amor Eterno: O Último Beijo,Romance,Carla Dias,Intrínseca,56.8,Livraria da Travessa,0
Desperte Seu Poder: Superando Limites,Autoajuda,Gustavo Ribeiro,Companhia das Letras,17.79,Livraria Martins Fontes,823
O Feitiço da Montanha,Fantasia,Carlos Souza,Editora Globo,60.63,Livraria da Travessa,61
O Mistério de Paris,Suspense,Ana Pereira,Editora Record,25.07,Livraria Fnac,9
A Última Batalha,História,Lucas Lima,Editora Planeta,19.31,Livraria Saraiva,0
No Coração do Terror,Terror,Carlos Souza,Intrínseca,141.01,Livraria Fnac,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Sofia Almeida,Editora Globo,13.55,Livraria Martins Fontes,67
O Feitiço da Estrela,Fantasia,Sofia Almeida,Editora Sextante,26.6,Livraria da Travessa,0
Vida Incrível: O Legado de uma Lenda,Biografia,Ana Pereira,Editora Planeta,10.55,Livraria Lecos,170
Vida Incrível: Histórias de Superação,Biografia,Lucas Lima,Editora Record,11.35,Livraria Cultura,9
O Mistério de Moscou,Suspense,Carla Dias,Editora Planeta,13.51,Livraria Saraiva,13
Futuro Agora: Revolução Digital,Tecnologia,Beatriz Nunes,Editora Sextante,5.45,Livraria Lecos,11
Aventura Radical: Os Mistérios do Deserto,Aventura,Gustavo Ribeiro,Editora Globo,28.12,Livraria Fnac,0
Revolução Científica: Explorando o Infinito,Ciência,Rafael Gomes,Intrínseca,4.0,Livraria Saraiva,347
O Mistério de Nova York,Suspense,João Silva,Intrínseca,17.56,Livraria Saraiva,33
O Mistério de Paris,Suspense,João Silva,Companhia das Letras,89.34,Livraria Saraiva,0
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Fernanda Costa,Editora Sextante,22.42,Livraria Martins Fontes,0
O Feitiço da Montanha,Fantasia,Gustavo Ribeiro,Companhia das Letras,9.16,Livraria Cultura,37
O Horizonte Proibido,Ficção,Fernanda Costa,Editora Globo,98.41,Livraria da Travessa,28
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Carla Dias,Intrínseca,9.66,Livraria Lecos,0
Os Guerreiros do Passado,História,Maria Oliveira,Intrínseca,21.64,Livraria Saraiva,0
Futuro Agora: Conectando o Mundo,Tecnologia,Thiago Fernandes,Editora Rocco,51.4,Livraria Saraiva,35
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Thiago Fernandes,Editora Planeta,20.9,Livraria Cultura,2
Vida Incrível: O Legado de uma Lenda,Biografia,Juliana Rocha,Editora Rocco,55.42,Livraria Fnac,56
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,João Silva,Intrínseca,25.37,Livraria Saraiva,82
O Feitiço da Montanha,Fantasia,Gustavo Ribeiro,Editora Record,76.58,Livraria Lecos,6
Futuro Agora: Inteligência Artificial,Tecnologia,Lucas Lima,Intrínseca,30.85,Livraria Lecos,0
A Última Batalha,História,Carlos Souza,Editora Record,71.58,Livraria Lecos,5
Futuro Agora: Conectando o Mundo,Tecnologia,Ana Pereira,Editora Globo,60.66,Livraria Saraiva,318
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Maria Oliveira,Editora Planeta,18.88,Livraria da Travessa,52
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Juliana Rocha,Editora Planeta,37.06,Livraria da Travessa,0
A Última Batalha,História,Juliana Rocha,Editora Planeta,87.36,Livraria Martins Fontes,100
O Horizonte Proibido,Ficção,Beatriz Nunes,Editora Record,16.83,Livraria Cultura,25
O Mistério de Paris,Suspense,Juliana Rocha,Intrínseca,138.7,Livraria Fnac,744
Futuro Agora: Revolução Digital,Tecnologia,Thiago Fernandes,Editora Rocco,14.71,Livraria Fnac,82
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Beatriz Nunes,Editora Rocco,78.82,Livraria Saraiva,0
Os Olhos da Noite,Terror,Sofia Almeida,Editora Planeta,45.78,Livraria Martins Fontes,124
O Feitiço da Montanha,Fantasia,Ana Pereira,Editora Record,13.36,Livraria Cultura,6
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Maria Oliveira,Editora Globo,158.48,Livraria Saraiva,0
Vida Incrível: Passos para a Eternidade,Biografia,Fernanda Costa,Editora Record,59.9,Livraria da Travessa,8
Os Guerreiros do Passado,História,Thiago Fernandes,Intrínseca,38.96,Livraria da Travessa,9
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Beatriz Nunes,Intrínseca,32.22,Livraria Fnac,129
Nos Bastidores da História,História,Fernanda Costa,Editora Sextante,13.0,Livraria Lecos,18
O Mistério de Moscou,Suspense,Fernanda Costa,Editora Record,18.72,Livraria da Travessa,195
Vida Incrível: Histórias de Superação,Biografia,Rafael Gomes,Companhia das Letras,8.77,Livraria Martins Fontes,0
O Horizonte Proibido,Ficção,Pedro Martins,Editora Sextante,21.6,Livraria Martins Fontes,41
Aventuras Mágicas: A Fada e o Dragão,Infantil,Pedro Martins,Intrínseca,162.19,Livraria Saraiva,121
O Mistério de Londres,Suspense,Rafael Gomes,Editora Globo,72.99,Livraria Martins Fontes,28
Aventuras Mágicas: A Fada e o Dragão,Infantil,Carlos Souza,Editora Globo,68.83,Livraria Saraiva,440
Nos Bastidores da História,História,Lucas Lima,Editora Globo,46.64,Livraria Martins Fontes,257
Aventura Radical: Os Mistérios do Deserto,Aventura,Juliana Rocha,Editora Sextante,20.83,Livraria Saraiva,381
O Mistério de Londres,Suspense,Gustavo Ribeiro,Editora Record,43.57,Livraria Saraiva,22
O Feitiço da Lua,Fantasia,Rafael Gomes,Editora Globo,95.76,Livraria da Travessa,30
A Última Batalha,História,Ana Pereira,Editora Record,31.68,Livraria da Travessa,345
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Carla Dias,Editora Planeta,78.3,Livraria Cultura,197
O Feitiço da Montanha,Fantasia,Carla Dias,Intrínseca,45.07,Livraria Lecos,55
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Beatriz Nunes,Companhia das Letras,6.85,Livraria Lecos,126
Desperte Seu Poder: Superando Limites,Autoajuda,Thiago Fernandes,Companhia das Letras,24.48,Livraria Fnac,24
Os Guerreiros do Passado,História,Gustavo Ribeiro,Intrínseca,33.78,Livraria da Travessa,41
No Coração do Terror,Terror,João Silva,Companhia das Letras,31.98,Livraria Cultura,76
A Última Fronteira,Ficção,Carlos Souza,Editora Sextante,4.78,Livraria Fnac,176
O Horizonte Proibido,Ficção,Ana Pereira,Editora Planeta,17.09,Livraria da Travessa,0
O Mistério de Nova York,Suspense,Gustavo Ribeiro,Editora Planeta,13.85,Livraria da Travessa,0
Revolução Científica: Mistérios do Universo,Ciência,Gustavo Ribeiro,Editora Record,10.95,Livraria Cultura,139
A Última Batalha,História,Lucas Lima,Editora Planeta,77.83,Livraria Saraiva,0
Aventura Radical: Os Mistérios do Deserto,Aventura,Pedro Martins,Editora Record,32.58,Livraria Fnac,144
Futuro Agora: Conectando o Mundo,Tecnologia,Rafael Gomes,Editora Sextante,80.87,Livraria da Travessa,0
A Casa das Sombras,Terror,Lucas Lima,Editora Globo,139.25,Livraria Lecos,36
Revolução Científica: Explorando o Infinito,Ciência,Carla Dias,Companhia das Letras,13.24,Livraria da Travessa,78
Desperte Seu Poder: Superando Limites,Autoajuda,Ana Pereira,Editora Globo,4.95,Livraria Cultura,182
Revolução Científica: Explorando o Infinito,Ciência,Lucas Lima,Editora Rocco,24.37,Livraria Lecos,29
Futuro Agora: Revolução Digital,Tecnologia,Lucas Lima,Editora Rocco,13.15,Livraria Fnac,119
Futuro Agora: Inteligência Artificial,Tecnologia,Carla Dias,Intrínseca,27.81,Livraria Martins Fontes,81
Amor Eterno: Entre Nós,Romance,Ana Pereira,Intrínseca,32.41,Livraria Cultura,24
Amor Eterno: Entre Nós,Romance,Beatriz Nunes,Editora Rocco,56.91,Livraria da Travessa,1
O Feitiço da Sombra,Fantasia,Gustavo Ribeiro,Editora Record,14.46,Livraria Saraiva,332
O Feitiço da Montanha,Fantasia,Thiago Fernandes,Editora Sextante,23.74,Livraria Saraiva,15
Revolução Científica: Explorando o Infinito,Ciência,Gustavo Ribeiro,Editora Globo,32.86,Livraria da Travessa,146
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Ana Pereira,Intrínseca,190.9,Livraria Lecos,0
Futuro Agora: Conectando o Mundo,Tecnologia,Maria Oliveira,Editora Globo,51.76,Livraria Saraiva,76
Futuro Agora: Conectando o Mundo,Tecnologia,Fernanda Costa,Editora Sextante,53.89,Livraria Lecos,1
Os Guerreiros do Passado,História,Thiago Fernandes,Editora Globo,18.39,Livraria da Travessa,22
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Carlos Souza,Editora Planeta,14.82,Livraria Lecos,130
No Coração do Terror,Terror,Thiago Fernandes,Editora Globo,32.8,Livraria Saraiva,76
O Feitiço da Estrela,Fantasia,Fernanda Costa,Editora Planeta,25.84,Livraria Fnac,0
Aventura Radical: Os Mistérios do Deserto,Aventura,João Silva,Companhia das Letras,18.45,Livraria da Travessa,52
Os Guerreiros do Passado,História,Ana Pereira,Editora Sextante,93.42,Livraria Saraiva,0
Os Olhos da Noite,Terror,Sofia Almeida,Editora Record,161.42,Livraria Martins Fontes,198
O Horizonte Proibido,Ficção,Lucas Lima,Editora Globo,11.72,Livraria Saraiva,0
Vida Incrível: O Legado de uma Lenda,Biografia,João Silva,Editora Globo,43.64,Livraria Cultura,0
A Casa das Sombras,Terror,Rafael Gomes,Editora Rocco,29.54,Livraria Cultura,28
A Última Fronteira,Ficção,Lucas Lima,Companhia das Letras,102.88,Livraria Martins Fontes,12
Desperte Seu Poder: Superando Limites,Autoajuda,Gustavo Ribeiro,Editora Record,42.25,Livraria Saraiva,0
O Feitiço da Montanha,Fantasia,Carla Dias,Editora Globo,60.62,Livraria Lecos,13
Os Olhos da Noite,Terror,Pedro Martins,Intrínseca,50.86,Livraria Cultura,8
O Feitiço da Estrela,Fantasia,Sofia Almeida,Editora Rocco,5.39,Livraria Fnac,0
Amor Eterno: A Noite das Estrelas,Romance,Carlos Souza,Editora Globo,14.0,Livraria Saraiva,148
Amor Eterno: Entre Nós,Romance,Maria Oliveira,Editora Globo,40.54,Livraria Lecos,908
A Última Fronteira,Ficção,Pedro Martins,Editora Sextante,58.08,Livraria da Travessa,350
Revolução Científica: Explorando o Infinito,Ciência,Lucas Lima,Editora Record,12.8,Livraria Cultura,0
Desperte Seu Poder: Superando Limites,Autoajuda,Carla Dias,Editora Sextante,4.99,Livraria Fnac,589
Revolução Científica: Mistérios do Universo,Ciência,Beatriz Nunes,Editora Planeta,41.4,Livraria Martins Fontes,4
A Última Fronteira,Ficção,Carlos Souza,Editora Sextante,34.4,Livraria da Travessa,22
Amor Eterno: O Último Beijo,Romance,João Silva,Editora Rocco,85.01,Livraria Martins Fontes,6
Futuro Agora: Inteligência Artificial,Tecnologia,João Silva,Intrínseca,53.7,Livraria da Travessa,106
Aventura Radical: Viagem ao Centro da Terra,Aventura,Fernanda Costa,Intrínseca,61.0,Livraria Martins Fontes,28
Revolução Científica: Explorando o Infinito,Ciência,João Silva,Companhia das Letras,105.01,Livraria Fnac,0
Amor Eterno: Entre Nós,Romance,Carla Dias,Editora Planeta,7.53,Livraria Saraiva,198
Desperte Seu Poder: Superando Limites,Autoajuda,Sofia Almeida,Editora Rocco,122.38,Livraria Saraiva,121
Aventura Radical: Viagem ao Centro da Terra,Aventura,Lucas Lima,Intrínseca,45.92,Livraria Lecos,131
Aventura Radical: Viagem ao Centro da Terra,Aventura,Pedro Martins,Editora Record,89.85,Livraria Lecos,10
A Última Batalha,História,Beatriz Nunes,Intrínseca,22.7,Livraria Saraiva,93
O Feitiço da Sombra,Fantasia,Beatriz Nunes,Editora Rocco,46.92,Livraria Lecos,10
O Mistério de Paris,Suspense,Juliana Rocha,Editora Planeta,60.52,Livraria Fnac,2
Os Guerreiros do Passado,História,Juliana Rocha,Editora Globo,50.53,Livraria Fnac,311
Vida Incrível: Passos para a Eternidade,Biografia,Carlos Souza,Companhia das Letras,55.35,Livraria Lecos,30
Amor Eterno: Corações em Chamas,Romance,Juliana Rocha,Intrínseca,12.0,Livraria Fnac,5
Amor Eterno: O Último Beijo,Romance,Carlos Souza,Companhia das Letras,50.7,Livraria Martins Fontes,26
Aventuras Mágicas: A Fada e o Dragão,Infantil,Lucas Lima,Companhia das Letras,91.21,Livraria Martins Fontes,26
Aventura Radical: Viagem ao Centro da Terra,Aventura,Ana Pereira,Editora Sextante,144.07,Livraria Lecos,63
Aventura Radical: Viagem ao Centro da Terra,Aventura,Rafael Gomes,Editora Rocco,61.34,Livraria Cultura,0
A Casa das Sombras,Terror,Carlos Souza,Editora Globo,30.4,Livraria Saraiva,21
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Thiago Fernandes,Editora Sextante,33.62,Livraria Cultura,30
Amor Eterno: A Noite das Estrelas,Romance,Fernanda Costa,Editora Sextante,61.76,Livraria Cultura,95
Revolução Científica: Mistérios do Universo,Ciência,Juliana Rocha,Editora Rocco,23.25,Livraria Cultura,16
A Última Batalha,História,Carla Dias,Editora Globo,47.41,Livraria Martins Fontes,242
Desperte Seu Poder: Superando Limites,Autoajuda,Rafael Gomes,Editora Rocco,17.58,Livraria Martins Fontes,299
Vida Incrível: O Legado de uma Lenda,Biografia,Thiago Fernandes,Editora Sextante,104.01,Livraria da Travessa,524
Vida Incrível: Histórias de Superação,Biografia,Carlos Souza,Editora Rocco,8.55,Livraria Saraiva,0
A Última Batalha,História,Fernanda Costa,Editora Globo,35.91,Livraria da Travessa,57
Além do Infinito,Ficção,Fernanda Costa,Editora Planeta,12.51,Livraria Lecos,197
Revolução Científica: Explorando o Infinito,Ciência,João Silva,Companhia das Letras,20.45,Livraria Martins Fontes,9
Aventura Radical: Os Mistérios do Deserto,Aventura,Lucas Lima,Companhia das Letras,11.78,Livraria Cultura,0
No Coração do Terror,Terror,Sofia Almeida,Editora Planeta,17.59,Livraria Lecos,47
Aventura Radical: Viagem ao Centro da Terra,Aventura,Juliana Rocha,Intrínseca,83.54,Livraria Saraiva,18
Amor Eterno: O Último Beijo,Romance,Carlos Souza,Editora Rocco,8.45,Livraria Lecos,45
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,João Silva,Editora Record,24.42,Livraria Martins Fontes,36
O Mistério de Nova York,Suspense,Carla Dias,Editora Globo,27.9,Livraria da Travessa,3
Amor Eterno: Entre Nós,Romance,Sofia Almeida,Editora Sextante,95.26,Livraria Cultura,387
Desperte Seu Poder: Superando Limites,Autoajuda,Beatriz Nunes,Companhia das Letras,15.8,Livraria Martins Fontes,18
Amor Eterno: A Noite das Estrelas,Romance,Maria Oliveira,Editora Planeta,16.49,Livraria Saraiva,228
Futuro Agora: Conectando o Mundo,Tecnologia,Carla Dias,Editora Record,21.12,Livraria da Travessa,0
Aventuras Mágicas: A Fada e o Dragão,Infantil,Fernanda Costa,Editora Planeta,45.08,Livraria Martins Fontes,141
O Mistério de Paris,Suspense,Pedro Martins,Editora Planeta,58.73,Livraria Saraiva,35
Aventura Radical: Os Mistérios do Deserto,Aventura,Lucas Lima,Editora Record,18.66,Livraria Martins Fontes,10
Amor Eterno: O Último Beijo,Romance,Beatriz Nunes,Companhia das Letras,11.13,Livraria Lecos,96
Amor Eterno: Entre Nós,Romance,Fernanda Costa,Companhia das Letras,9.51,Livraria da Travessa,22
O Horizonte Proibido,Ficção,Carla Dias,Editora Rocco,12.66,Livraria Lecos,11
O Horizonte Proibido,Ficção,Juliana Rocha,Intrínseca,29.39,Livraria Lecos,50
A Última Batalha,História,Fernanda Costa,Companhia das Letras,93.2,Livraria da Travessa,181
A Última Batalha,História,Beatriz Nunes,Intrínseca,64.64,Livraria Lecos,47
Aventuras Mágicas: A Fada e o Dragão,Infantil,Juliana Rocha,Editora Planeta,53.41,Livraria Lecos,8
Amor Eterno: A Noite das Estrelas,Romance,Thiago Fernandes,Companhia das Letras,63.05,Livraria Cultura,218
Além do Infinito,Ficção,Juliana Rocha,Intrínseca,60.34,Livraria Fnac,8
Futuro Agora: Conectando o Mundo,Tecnologia,Beatriz Nunes,Editora Planeta,66.67,Livraria da Travessa,33
No Coração do Terror,Terror,Thiago Fernandes,Editora Planeta,12.38,Livraria Lecos,2
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Sofia Almeida,Editora Sextante,21.78,Livraria Fnac,116
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Fernanda Costa,Editora Globo,14.93,Livraria Lecos,502
No Coração do Terror,Terror,Gustavo Ribeiro,Editora Record,16.52,Livraria da Travessa,0
A Última Fronteira,Ficção,Carlos Souza,Companhia das Letras,21.21,Livraria Lecos,37
O Mistério de Moscou,Suspense,João Silva,Intrínseca,15.38,Livraria Lecos,108
Revolução Científica: Mistérios do Universo,Ciência,Gustavo Ribeiro,Editora Rocco,56.93,Livraria Saraiva,52
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Beatriz Nunes,Editora Rocco,31.35,Livraria Lecos,63
Amor Eterno: Entre Nós,Romance,Carla Dias,Companhia das Letras,25.32,Livraria Fnac,2
O Mistério de Nova York,Suspense,Pedro Martins,Editora Record,7.96,Livraria Martins Fontes,461
Revolução Científica: Mistérios do Universo,Ciência,Maria Oliveira,Editora Rocco,18.05,Livraria Lecos,172
Aventura Radical: Os Mistérios do Deserto,Aventura,João Silva,Editora Rocco,24.62,Livraria Fnac,28
No Coração do Terror,Terror,Gustavo Ribeiro,Editora Globo,26.91,Livraria Fnac,273
A Última Batalha,História,Pedro Martins,Companhia das Letras,133.2,Livraria Fnac,207
O Feitiço da Lua,Fantasia,Fernanda Costa,Editora Rocco,28.26,Livraria Martins Fontes,7
Nos Bastidores da História,História,Thiago Fernandes,Editora Rocco,22.84,Livraria Martins Fontes,24
Vida Incrível: O Legado de uma Lenda,Biografia,João Silva,Companhia das Letras,24.18,Livraria Lecos,0
No Coração do Terror,Terror,Ana Pereira,Editora Record,20.29,Livraria Fnac,9
O Feitiço da Lua,Fantasia,Thiago Fernandes,Editora Globo,55.54,Livraria da Travessa,72
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,João Silva,Companhia das Letras,42.44,Livraria Martins Fontes,198
A Última Fronteira,Ficção,Rafael Gomes,Editora Rocco,13.61,Livraria Lecos,147
Aventuras Mágicas: A Fada e o Dragão,Infantil,Gustavo Ribeiro,Editora Record,35.42,Livraria Fnac,67
No Coração do Terror,Terror,Beatriz Nunes,Editora Planeta,15.12,Livraria Lecos,190
Os Guerreiros do Passado,História,Gustavo Ribeiro,Editora Globo,19.1,Livraria da Travessa,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Companhia das Letras,57.19,Livraria da Travessa,46
No Coração do Terror,Terror,Carlos Souza,Intrínseca,28.41,Livraria da Travessa,35
O Mistério de Nova York,Suspense,João Silva,Editora Sextante,158.18,Livraria Cultura,20
Futuro Agora: Inteligência Artificial,Tecnologia,Rafael Gomes,Editora Globo,33.45,Livraria Cultura,79
Amor Eterno: Entre Nós,Romance,Pedro Martins,Editora Rocco,127.46,Livraria Martins Fontes,61
